Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
21.88517196,0.2788311839,-3.309262991,-1.390846372
21.89521224,0.4659227133,-3.68767333,-1.572297812
21.90531356,0.6808539629,-4.033150196,-1.733548164
21.91535384,0.9259114861,-4.373177052,-1.900117159
21.92545516,1.203721166,-4.718696594,-2.093367577
21.93552596,1.498004675,-5.026830673,-2.279380083
21.94568831,1.766868711,-5.236019135,-2.414494753
21.96576888,2.31223011,-5.608437538,-2.686388731
21.97580916,2.533247471,-5.64766264,-2.769326448
21.98587996,2.699287415,-5.593634129,-2.816135883
21.99592025,2.757951975,-5.348861694,-2.761815071
22.00602156,2.844688892,-5.19666481,-2.769336224
22.01609237,2.902509928,-5.012400627,-2.771327972
22.02616316,2.938040495,-4.803379536,-2.760755062
22.03623397,2.943684578,-4.566788673,-2.73142314
22.04648787,2.921480656,-4.313697815,-2.68126893
22.06644637,2.896243572,-3.895300388,-2.590836525
22.07651717,2.85145998,-3.611199856,-2.487018347
22.08658797,2.819051981,-3.300844669,-2.367150784
22.09665877,2.743368387,-2.919264078,-2.180221319
22.10672957,2.741042137,-2.625371218,-2.044703245
22.11680037,2.736261606,-2.345992804,-1.907442331
22.12687117,2.737303019,-2.098917723,-1.77428484
22.13694197,2.73461175,-1.881066084,-1.644237041
22.14731795,2.715908766,-1.681121826,-1.512048006
22.16715438,2.705981255,-1.371558666,-1.220979691
22.17722518,2.66192627,-1.227593541,-1.016032815
22.18729598,2.627179384,-1.108059883,-0.7909762263
22.19736678,2.529681683,-0.982839644,-0.5205050707
22.20740706,2.526805162,-0.8810856342,-0.2082698792
22.21750838,2.532877684,-0.790504992,0.1827288568
22.2276097,2.535716534,-0.7535930872,0.6005766392
22.23764998,2.520382643,-0.7661072016,1.009165049
22.24817855,2.49858427,-0.8150115013,1.456461906
22.26786238,2.431586266,-1.012301683,2.457202196
22.27793319,2.313322067,-1.144478679,2.926235199
22.28800399,2.158879995,-1.315879464,3.387582779
22.29807479,1.921863675,-1.487223268,3.721209288
22.30814559,1.704840302,-1.717705488,4.083858967
22.31818587,1.463776708,-1.965805769,4.388193607
22.32828719,1.208741546,-2.199084044,4.629935265
22.33835799,0.9483175278,-2.398162127,4.803139687
22.34888655,0.6925802827,-2.565169573,4.906502247
22.36857039,0.2543486953,-2.824331045,4.976801395
22.37864119,0.07685359567,-2.819542885,4.824052334
22.38871199,-0.046771314,-2.749940395,4.579827309
22.39878279,-0.1264169365,-2.58215785,4.177503586
22.4088536,-0.2033661306,-2.496978045,3.918708563
22.4189244,-0.2790846825,-2.427735806,3.645278931
22.4289952,-0.3237101734,-2.322988272,3.363299847
