"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.884570118E0,1.138676167E0,3.656878710E0,3.260963261E-1
1.894640919E0,8.116693497E-1,3.373909950E0,1.156793684E-1
1.904650684E0,5.172880888E-1,2.972815275E0,-7.053942978E-2
1.914721485E0,2.441445738E-1,2.509225368E0,-2.404245585E-1
1.924792286E0,-1.735713147E-2,2.041798830E0,-3.560117483E-1
1.934863087E0,-3.130709827E-1,1.587326169E0,-4.221535027E-1
1.944933887E0,-6.920061707E-1,1.120679259E0,-4.681240916E-1
1.955035206E0,-1.168413162E0,6.350121498E-1,-5.906695127E-1
1.965075489E0,-1.815559387E0,1.100879684E-1,-8.274995685E-1
1.975176807E0,-2.568110466E0,-4.668373168E-1,-1.087479115E0
1.985247608E0,-3.289236546E0,-1.102760553E0,-1.328105211E0
1.995318409E0,-3.951624870E0,-1.768674016E0,-1.551112890E0
2.005389210E0,-4.555102348E0,-2.417948484E0,-1.724084139E0
2.015429493E0,-5.108498573E0,-2.973337889E0,-1.847235799E0
2.025530811E0,-5.573835850E0,-3.416575909E0,-1.925966859E0
2.035571095E0,-5.978464603E0,-3.768761158E0,-1.980152249E0
2.045641895E0,-6.426522255E0,-4.053127766E0,-2.029361725E0
2.055743214E0,-6.901713848E0,-4.318349361E0,-2.033033848E0
2.065814014E0,-7.342632294E0,-4.711478233E0,-2.073363066E0
2.075884815E0,-7.512067795E0,-5.117031097E0,-1.952263713E0
2.085925098E0,-7.332426548E0,-5.217133999E0,-2.076681614E0
2.096026417E0,-7.075065613E0,-5.014451981E0,-2.278645754E0
2.106066700E0,-6.543583870E0,-4.686398506E0,-2.507808924E0
2.116137501E0,-5.960826874E0,-4.096013546E0,-2.475484133E0
2.126238819E0,-5.254492760E0,-3.647378445E0,-2.388513088E0
2.136279102E0,-4.441842079E0,-3.261390924E0,-2.138583183E0
2.146349903E0,-3.482783318E0,-2.787202358E0,-1.717332482E0
2.156420704E0,-2.336731434E0,-2.301527739E0,-1.215380073E0
2.166491505E0,-1.250692725E0,-1.922068477E0,-7.012730837E-1
2.176562305E0,-3.894971311E-1,-1.647579074E0,-2.852983177E-1
2.186633106E0,1.404369622E-1,-1.445046186E0,5.504258350E-2
2.196703907E0,4.428957105E-1,-1.269732356E0,3.222751319E-1
2.207385059E0,7.916398644E-1,-1.002228618E0,5.139130354E-1
2.217394825E0,1.199344158E0,-5.321038365E-1,6.687884927E-1
2.227435108E0,1.569898009E0,6.010443438E-3,9.014055133E-1
2.237444874E0,1.858889818E0,3.027285337E-1,1.000692129E0
2.247454639E0,1.810554385E0,4.296610951E-1,1.303506613E0
2.257555958E0,1.560264111E0,3.776462674E-1,1.608110666E0
2.267626759E0,1.284740925E0,1.161403954E-1,1.796519637E0
2.277667042E0,9.635816216E-1,-1.426212676E-2,1.911220789E0
2.287676807E0,5.272946954E-1,-1.258834600E-1,1.840152025E0
2.297717091E0,-7.724168897E-2,-1.722902507E-1,1.640169978E0
2.307726856E0,-7.847363949E-1,-3.109153509E-1,1.377515554E0
2.317767139E0,-1.378360033E0,-4.032309651E-1,1.116835833E0
2.327776905E0,-1.765740156E0,-4.407426119E-1,9.446409345E-1
2.337817188E0,-1.944347501E0,-4.639189839E-1,8.344253302E-1
2.357897755E0,-1.894362569E0,-4.140796661E-1,6.827344894E-1
2.367968555E0,-1.812637687E0,-3.985871971E-1,7.000149488E-1
2.378039356E0,-1.751410961E0,-4.039874673E-1,6.793522835E-1
2.388110157E0,-1.771090388E0,-4.239939749E-1,6.272250414E-1
2.398180958E0,-1.855769038E0,-4.418324828E-1,5.566753149E-1
2.408251759E0,-1.970614314E0,-4.674994648E-1,4.591028392E-1
2.418322559E0,-2.043525934E0,-4.988626838E-1,3.394545317E-1
2.428362843E0,-2.041621447E0,-5.072274208E-1,2.020872384E-1
2.438464161E0,-1.980798721E0,-5.102484226E-1,8.872686327E-2
